,EventID,Evaluation Status,Origin Time,Magnitude,Latitude (WGS84),Longitude (WGS84),LocationName
2017-02-23,texnet2017dtyg,final,14:26:05,2.1,28.9252,-97.9598,Near Coast of Texas
2017-02-24,,,,0.0,,,
2017-02-25,,,,0.0,,,
2017-02-26,,,,0.0,,,
2017-02-27,,,,0.0,,,
2017-02-28,,,,0.0,,,
2017-03-01,,,,0.0,,,
2017-03-02,,,,0.0,,,
2017-03-03,,,,0.0,,,
2017-03-04,,,,0.0,,,
2017-03-05,,,,0.0,,,
2017-03-06,,,,0.0,,,
2017-03-07,,,,0.0,,,
2017-03-08,,,,0.0,,,
2017-03-09,,,,0.0,,,
2017-03-10,,,,0.0,,,
2017-03-11,,,,0.0,,,
2017-03-12,,,,0.0,,,
2017-03-13,,,,0.0,,,
2017-03-14,,,,0.0,,,
2017-03-15,,,,0.0,,,
2017-03-16,,,,0.0,,,
2017-03-17,,,,0.0,,,
2017-03-18,,,,0.0,,,
2017-03-19,,,,0.0,,,
2017-03-20,,,,0.0,,,
2017-03-21,texnet2017fppw,final,16:43:44,2.0,29.0854,-97.7313,Central Texas
2017-03-22,texnet2017frto,final,20:51:41,2.4,29.1788,-97.7706,Central Texas
2017-03-22,texnet2017frdl,final,12:43:42,1.9,29.1019,-97.7333,Central Texas
2017-03-23,,,,0.0,,,
2017-03-24,,,,0.0,,,
2017-03-25,,,,0.0,,,
2017-03-26,,,,0.0,,,
2017-03-27,,,,0.0,,,
2017-03-28,,,,0.0,,,
2017-03-29,,,,0.0,,,
2017-03-30,,,,0.0,,,
2017-03-31,,,,0.0,,,
2017-04-01,,,,0.0,,,
2017-04-02,,,,0.0,,,
2017-04-03,,,,0.0,,,
2017-04-04,,,,0.0,,,
2017-04-05,,,,0.0,,,
2017-04-06,,,,0.0,,,
2017-04-07,,,,0.0,,,
2017-04-08,,,,0.0,,,
2017-04-09,,,,0.0,,,
2017-04-10,,,,0.0,,,
2017-04-11,,,,0.0,,,
2017-04-12,,,,0.0,,,
2017-04-13,,,,0.0,,,
2017-04-14,,,,0.0,,,
2017-04-15,,,,0.0,,,
2017-04-16,,,,0.0,,,
2017-04-17,,,,0.0,,,
2017-04-18,,,,0.0,,,
2017-04-19,,,,0.0,,,
2017-04-20,,,,0.0,,,
2017-04-21,,,,0.0,,,
2017-04-22,,,,0.0,,,
2017-04-23,,,,0.0,,,
2017-04-24,,,,0.0,,,
2017-04-25,,,,0.0,,,
2017-04-26,,,,0.0,,,
2017-04-27,,,,0.0,,,
2017-04-28,,,,0.0,,,
2017-04-29,,,,0.0,,,
2017-04-30,,,,0.0,,,
2017-05-01,,,,0.0,,,
2017-05-02,,,,0.0,,,
2017-05-03,,,,0.0,,,
2017-05-04,,,,0.0,,,
2017-05-05,,,,0.0,,,
2017-05-06,,,,0.0,,,
2017-05-07,,,,0.0,,,
2017-05-08,,,,0.0,,,
2017-05-09,,,,0.0,,,
2017-05-10,,,,0.0,,,
2017-05-11,,,,0.0,,,
2017-05-12,,,,0.0,,,
2017-05-13,,,,0.0,,,
2017-05-14,,,,0.0,,,
2017-05-15,,,,0.0,,,
2017-05-16,,,,0.0,,,
2017-05-17,,,,0.0,,,
2017-05-18,,,,0.0,,,
2017-05-19,,,,0.0,,,
2017-05-20,,,,0.0,,,
2017-05-21,,,,0.0,,,
2017-05-22,,,,0.0,,,
2017-05-23,,,,0.0,,,
2017-05-24,,,,0.0,,,
2017-05-25,,,,0.0,,,
2017-05-26,,,,0.0,,,
2017-05-27,,,,0.0,,,
2017-05-28,,,,0.0,,,
2017-05-29,,,,0.0,,,
2017-05-30,,,,0.0,,,
2017-05-31,,,,0.0,,,
2017-06-01,,,,0.0,,,
2017-06-02,,,,0.0,,,
2017-06-03,,,,0.0,,,
2017-06-04,,,,0.0,,,
2017-06-05,,,,0.0,,,
2017-06-06,,,,0.0,,,
2017-06-07,,,,0.0,,,
2017-06-08,,,,0.0,,,
2017-06-09,,,,0.0,,,
2017-06-10,,,,0.0,,,
2017-06-11,,,,0.0,,,
2017-06-12,,,,0.0,,,
2017-06-13,,,,0.0,,,
2017-06-14,,,,0.0,,,
2017-06-15,,,,0.0,,,
2017-06-16,,,,0.0,,,
2017-06-17,,,,0.0,,,
2017-06-18,,,,0.0,,,
2017-06-19,,,,0.0,,,
2017-06-20,,,,0.0,,,
2017-06-21,,,,0.0,,,
2017-06-22,,,,0.0,,,
2017-06-23,,,,0.0,,,
2017-06-24,,,,0.0,,,
2017-06-25,,,,0.0,,,
2017-06-26,,,,0.0,,,
2017-06-27,,,,0.0,,,
2017-06-28,,,,0.0,,,
2017-06-29,,,,0.0,,,
2017-06-30,,,,0.0,,,
2017-07-01,,,,0.0,,,
2017-07-02,texnet2017mvfk,final,09:00:46,3.1,29.0195,-97.9319,Central Texas
2017-07-03,,,,0.0,,,
2017-07-04,,,,0.0,,,
2017-07-05,,,,0.0,,,
2017-07-06,,,,0.0,,,
2017-07-07,,,,0.0,,,
2017-07-08,,,,0.0,,,
2017-07-09,,,,0.0,,,
2017-07-10,,,,0.0,,,
2017-07-11,,,,0.0,,,
2017-07-12,,,,0.0,,,
2017-07-13,,,,0.0,,,
2017-07-14,,,,0.0,,,
2017-07-15,,,,0.0,,,
2017-07-16,,,,0.0,,,
2017-07-17,,,,0.0,,,
2017-07-18,,,,0.0,,,
2017-07-19,,,,0.0,,,
2017-07-20,,,,0.0,,,
2017-07-21,,,,0.0,,,
2017-07-22,,,,0.0,,,
2017-07-23,,,,0.0,,,
2017-07-24,,,,0.0,,,
2017-07-25,,,,0.0,,,
2017-07-26,,,,0.0,,,
2017-07-27,,,,0.0,,,
2017-07-28,,,,0.0,,,
2017-07-29,,,,0.0,,,
2017-07-30,,,,0.0,,,
2017-07-31,,,,0.0,,,
2017-08-01,,,,0.0,,,
2017-08-02,,,,0.0,,,
2017-08-03,,,,0.0,,,
2017-08-04,,,,0.0,,,
2017-08-05,,,,0.0,,,
2017-08-06,,,,0.0,,,
2017-08-07,,,,0.0,,,
2017-08-08,,,,0.0,,,
2017-08-09,,,,0.0,,,
2017-08-10,,,,0.0,,,
2017-08-11,,,,0.0,,,
2017-08-12,,,,0.0,,,
2017-08-13,,,,0.0,,,
2017-08-14,,,,0.0,,,
2017-08-15,,,,0.0,,,
2017-08-16,,,,0.0,,,
2017-08-17,,,,0.0,,,
2017-08-18,,,,0.0,,,
2017-08-19,,,,0.0,,,
2017-08-20,,,,0.0,,,
2017-08-21,,,,0.0,,,
2017-08-22,,,,0.0,,,
2017-08-23,,,,0.0,,,
2017-08-24,,,,0.0,,,
2017-08-25,,,,0.0,,,
2017-08-26,,,,0.0,,,
2017-08-27,,,,0.0,,,
2017-08-28,,,,0.0,,,
2017-08-29,,,,0.0,,,
2017-08-30,,,,0.0,,,
2017-08-31,,,,0.0,,,
2017-09-01,,,,0.0,,,
2017-09-02,,,,0.0,,,
2017-09-03,,,,0.0,,,
2017-09-04,,,,0.0,,,
2017-09-05,,,,0.0,,,
2017-09-06,,,,0.0,,,
2017-09-07,,,,0.0,,,
2017-09-08,,,,0.0,,,
2017-09-09,,,,0.0,,,
2017-09-10,,,,0.0,,,
2017-09-11,,,,0.0,,,
2017-09-12,,,,0.0,,,
2017-09-13,,,,0.0,,,
2017-09-14,,,,0.0,,,
2017-09-15,,,,0.0,,,
2017-09-16,,,,0.0,,,
2017-09-17,,,,0.0,,,
2017-09-18,,,,0.0,,,
2017-09-19,,,,0.0,,,
2017-09-20,,,,0.0,,,
2017-09-21,,,,0.0,,,
2017-09-22,,,,0.0,,,
2017-09-23,,,,0.0,,,
2017-09-24,,,,0.0,,,
2017-09-25,,,,0.0,,,
2017-09-26,,,,0.0,,,
2017-09-27,,,,0.0,,,
2017-09-28,,,,0.0,,,
2017-09-29,,,,0.0,,,
2017-09-30,,,,0.0,,,
2017-10-01,,,,0.0,,,
2017-10-02,,,,0.0,,,
2017-10-03,,,,0.0,,,
2017-10-04,,,,0.0,,,
2017-10-05,,,,0.0,,,
2017-10-06,,,,0.0,,,
2017-10-07,,,,0.0,,,
2017-10-08,,,,0.0,,,
2017-10-09,,,,0.0,,,
2017-10-10,,,,0.0,,,
2017-10-11,,,,0.0,,,
2017-10-12,,,,0.0,,,
2017-10-13,,,,0.0,,,
2017-10-14,,,,0.0,,,
2017-10-15,,,,0.0,,,
2017-10-16,,,,0.0,,,
2017-10-17,,,,0.0,,,
2017-10-18,,,,0.0,,,
2017-10-19,,,,0.0,,,
2017-10-20,,,,0.0,,,
2017-10-21,,,,0.0,,,
2017-10-22,,,,0.0,,,
2017-10-23,,,,0.0,,,
2017-10-24,,,,0.0,,,
2017-10-25,,,,0.0,,,
2017-10-26,,,,0.0,,,
2017-10-27,,,,0.0,,,
2017-10-28,,,,0.0,,,
2017-10-29,,,,0.0,,,
2017-10-30,,,,0.0,,,
2017-10-31,,,,0.0,,,
2017-11-01,,,,0.0,,,
2017-11-02,,,,0.0,,,
2017-11-03,,,,0.0,,,
2017-11-04,,,,0.0,,,
2017-11-05,,,,0.0,,,
2017-11-06,,,,0.0,,,
2017-11-07,,,,0.0,,,
2017-11-08,,,,0.0,,,
2017-11-09,,,,0.0,,,
2017-11-10,,,,0.0,,,
2017-11-11,,,,0.0,,,
2017-11-12,,,,0.0,,,
2017-11-13,,,,0.0,,,
2017-11-14,texnet2017wiiy,final,15:24:14,3.0,28.9197,-97.9949,Near Coast of Texas
2017-11-14,texnet2017whqr,final,06:10:52,2.2,28.9719,-97.9918,Near Coast of Texas
2017-11-14,texnet2017whqt,final,06:12:11,1.7,28.8913,-98.0084,Southern Texas
2017-11-14,texnet2017whwc,final,08:54:05,2.8,28.9426,-98.0105,Southern Texas
2017-11-15,,,,0.0,,,
2017-11-16,,,,0.0,,,
2017-11-17,,,,0.0,,,
2017-11-18,,,,0.0,,,
2017-11-19,,,,0.0,,,
2017-11-20,,,,0.0,,,
2017-11-21,,,,0.0,,,
2017-11-22,,,,0.0,,,
2017-11-23,,,,0.0,,,
2017-11-24,,,,0.0,,,
2017-11-25,,,,0.0,,,
2017-11-26,,,,0.0,,,
2017-11-27,,,,0.0,,,
2017-11-28,,,,0.0,,,
2017-11-29,,,,0.0,,,
2017-11-30,,,,0.0,,,
2017-12-01,,,,0.0,,,
2017-12-02,,,,0.0,,,
2017-12-03,,,,0.0,,,
2017-12-04,,,,0.0,,,
2017-12-05,,,,0.0,,,
2017-12-06,,,,0.0,,,
2017-12-07,,,,0.0,,,
2017-12-08,,,,0.0,,,
2017-12-09,,,,0.0,,,
2017-12-10,,,,0.0,,,
2017-12-11,,,,0.0,,,
2017-12-12,,,,0.0,,,
2017-12-13,,,,0.0,,,
2017-12-14,,,,0.0,,,
2017-12-15,,,,0.0,,,
2017-12-16,,,,0.0,,,
2017-12-17,,,,0.0,,,
2017-12-18,,,,0.0,,,
2017-12-19,,,,0.0,,,
2017-12-20,,,,0.0,,,
2017-12-21,,,,0.0,,,
2017-12-22,,,,0.0,,,
2017-12-23,,,,0.0,,,
2017-12-24,,,,0.0,,,
2017-12-25,,,,0.0,,,
2017-12-26,,,,0.0,,,
2017-12-27,,,,0.0,,,
2017-12-28,,,,0.0,,,
2017-12-29,,,,0.0,,,
2017-12-30,texnet2017znxw,final,09:14:34,1.8,29.0286,-97.8512,Central Texas
2017-12-31,,,,0.0,,,
2018-01-01,,,,0.0,,,
2018-01-02,,,,0.0,,,
2018-01-03,texnet2018adyk,final,03:45:19,1.9,29.0103,-97.9588,Central Texas
2018-01-04,,,,0.0,,,
2018-01-05,,,,0.0,,,
2018-01-06,,,,0.0,,,
2018-01-07,,,,0.0,,,
2018-01-08,,,,0.0,,,
2018-01-09,texnet2018aqeb,final,20:14:04,3.0,29.003,-97.9174,Central Texas
2018-01-10,texnet2018ards,final,09:11:02,2.2,28.9838,-97.8977,Near Coast of Texas
2018-01-11,,,,0.0,,,
2018-01-12,,,,0.0,,,
2018-01-13,,,,0.0,,,
2018-01-14,,,,0.0,,,
2018-01-15,,,,0.0,,,
2018-01-16,,,,0.0,,,
2018-01-17,,,,0.0,,,
2018-01-18,,,,0.0,,,
2018-01-19,,,,0.0,,,
2018-01-20,,,,0.0,,,
2018-01-21,,,,0.0,,,
2018-01-22,,,,0.0,,,
2018-01-23,,,,0.0,,,
2018-01-24,,,,0.0,,,
2018-01-25,,,,0.0,,,
2018-01-26,,,,0.0,,,
2018-01-27,,,,0.0,,,
2018-01-28,,,,0.0,,,
2018-01-29,,,,0.0,,,
2018-01-30,,,,0.0,,,
2018-01-31,,,,0.0,,,
2018-02-01,,,,0.0,,,
2018-02-02,,,,0.0,,,
2018-02-03,,,,0.0,,,
2018-02-04,,,,0.0,,,
2018-02-05,,,,0.0,,,
2018-02-06,,,,0.0,,,
2018-02-07,,,,0.0,,,
2018-02-08,,,,0.0,,,
2018-02-09,,,,0.0,,,
2018-02-10,texnet2018cwcl,final,13:19:41,1.5,29.003,-97.8698,Central Texas
2018-02-11,texnet2018cyot,final,21:48:05,2.0,29.0231,-97.845,Central Texas
2018-02-12,texnet2018czng,final,10:09:47,2.6,29.0076,-97.8874,Central Texas
2018-02-12,texnet2018czqu,final,11:57:59,2.2,29.0158,-97.8471,Central Texas
2018-02-12,texnet2018czrw,final,12:31:21,2.4,29.0222,-97.846,Central Texas
2018-02-12,texnet2018czrz,final,12:33:42,2.3,29.0121,-97.8491,Central Texas
2018-02-12,texnet2018czvr,final,14:24:51,3.2,28.9938,-97.9091,Near Coast of Texas
2018-02-12,texnet2018czwo,final,14:52:25,1.5,28.9774,-97.9009,Near Coast of Texas
2018-02-13,,,,0.0,,,
2018-02-14,,,,0.0,,,
2018-02-15,,,,0.0,,,
2018-02-16,texnet2018dgjr,final,04:18:41,2.1,29.0121,-97.8367,Central Texas
2018-02-17,,,,0.0,,,
2018-02-18,,,,0.0,,,
2018-02-19,texnet2018dnfs,final,22:16:05,2.7,29.0451,-97.9215,Central Texas
2018-02-19,texnet2018dloy,final,00:39:33,2.7,29.003,-97.8926,Central Texas
2018-02-19,texnet2018dnfi,final,22:04:32,3.0,29.0222,-97.8543,Central Texas
2018-02-20,,,,0.0,,,
2018-02-21,,,,0.0,,,
2018-02-22,,,,0.0,,,
2018-02-23,,,,0.0,,,
2018-02-24,,,,0.0,,,
2018-02-25,,,,0.0,,,
2018-02-26,,,,0.0,,,
2018-02-27,,,,0.0,,,
2018-02-28,,,,0.0,,,
2018-03-01,,,,0.0,,,
2018-03-02,,,,0.0,,,
2018-03-03,,,,0.0,,,
2018-03-04,,,,0.0,,,
2018-03-05,,,,0.0,,,
2018-03-06,,,,0.0,,,
2018-03-07,,,,0.0,,,
2018-03-08,,,,0.0,,,
2018-03-09,,,,0.0,,,
2018-03-10,,,,0.0,,,
2018-03-11,,,,0.0,,,
2018-03-12,texnet2018eyqm,final,09:44:18,3.3,29.1403,-97.692,Central Texas
2018-03-13,texnet2018fajs,final,08:35:17,3.0,29.0863,-97.6703,Central Texas
2018-03-14,,,,0.0,,,
2018-03-15,,,,0.0,,,
2018-03-16,,,,0.0,,,
2018-03-17,,,,0.0,,,
2018-03-18,,,,0.0,,,
2018-03-19,,,,0.0,,,
2018-03-20,,,,0.0,,,
2018-03-21,,,,0.0,,,
2018-03-22,,,,0.0,,,
2018-03-23,,,,0.0,,,
2018-03-24,,,,0.0,,,
2018-03-25,,,,0.0,,,
2018-03-26,,,,0.0,,,
2018-03-27,,,,0.0,,,
2018-03-28,,,,0.0,,,
2018-03-29,,,,0.0,,,
2018-03-30,,,,0.0,,,
2018-03-31,,,,0.0,,,
2018-04-01,,,,0.0,,,
2018-04-02,,,,0.0,,,
2018-04-03,,,,0.0,,,
2018-04-04,,,,0.0,,,
2018-04-05,,,,0.0,,,
2018-04-06,,,,0.0,,,
2018-04-07,,,,0.0,,,
2018-04-08,,,,0.0,,,
2018-04-09,,,,0.0,,,
2018-04-10,,,,0.0,,,
2018-04-11,,,,0.0,,,
2018-04-12,,,,0.0,,,
2018-04-13,,,,0.0,,,
2018-04-14,,,,0.0,,,
2018-04-15,,,,0.0,,,
2018-04-16,,,,0.0,,,
2018-04-17,,,,0.0,,,
2018-04-18,,,,0.0,,,
2018-04-19,,,,0.0,,,
2018-04-20,,,,0.0,,,
2018-04-21,texnet2018htks,final,05:44:17,3.0,28.992,-97.8802,Near Coast of Texas
2018-04-22,,,,0.0,,,
2018-04-23,,,,0.0,,,
2018-04-24,,,,0.0,,,
2018-04-25,,,,0.0,,,
2018-04-26,texnet2018idoc,final,18:49:24,1.9,29.014,-97.9898,Central Texas
2018-04-26,texnet2018idob,final,18:49:48,3.3,28.9645,-98.0043,Southern Texas
2018-04-27,texnet2018idyq,final,00:08:00,1.7,28.9545,-97.9929,Near Coast of Texas
2018-04-28,,,,0.0,,,
2018-04-29,texnet2018iixa,final,16:59:42,2.9,29.014,-97.8512,Central Texas
2018-04-30,,,,0.0,,,
2018-05-01,texnet2018ilhd,final,00:23:37,2.6,28.9114,-98.0208,Southern Texas
2018-05-01,texnet2018immz,final,16:28:56,3.5,28.9188,-98.0125,Southern Texas
2018-05-02,,,,0.0,,,
2018-05-03,,,,0.0,,,
2018-05-04,,,,0.0,,,
2018-05-05,texnet2018iszt,final,05:45:15,1.8,28.9243,-97.9856,Near Coast of Texas
2018-05-06,,,,0.0,,,
2018-05-07,,,,0.0,,,
2018-05-08,,,,0.0,,,
2018-05-09,,,,0.0,,,
2018-05-10,,,,0.0,,,
2018-05-11,,,,0.0,,,
2018-05-12,,,,0.0,,,
2018-05-13,,,,0.0,,,
2018-05-14,,,,0.0,,,
2018-05-15,,,,0.0,,,
2018-05-16,,,,0.0,,,
2018-05-17,,,,0.0,,,
2018-05-18,,,,0.0,,,
2018-05-19,,,,0.0,,,
2018-05-20,texnet2018jvho,final,17:30:22,1.9,29.0854,-97.7499,Central Texas
2018-05-20,texnet2018jvhy,final,17:41:35,2.4,29.0689,-97.7623,Central Texas
2018-05-21,,,,0.0,,,
2018-05-22,texnet2018jxxy,final,04:02:59,1.7,29.1055,-97.7768,Central Texas
2018-05-23,,,,0.0,,,
2018-05-24,,,,0.0,,,
2018-05-25,,,,0.0,,,
2018-05-26,,,,0.0,,,
2018-05-27,,,,0.0,,,
2018-05-28,texnet2018kjxa,final,17:14:23,1.4,29.0826,-97.8274,Central Texas
2018-05-29,,,,0.0,,,
2018-05-30,,,,0.0,,,
2018-05-31,,,,0.0,,,
2018-06-01,,,,0.0,,,
2018-06-02,,,,0.0,,,
2018-06-03,,,,0.0,,,
2018-06-04,,,,0.0,,,
2018-06-05,,,,0.0,,,
2018-06-06,,,,0.0,,,
2018-06-07,,,,0.0,,,
2018-06-08,,,,0.0,,,
2018-06-09,,,,0.0,,,
2018-06-10,,,,0.0,,,
2018-06-11,texnet2018ljsm,final,20:27:41,2.3,28.9883,-97.9071,Near Coast of Texas
2018-06-11,texnet2018ljrs,final,20:04:09,2.3,28.9911,-97.9019,Near Coast of Texas
2018-06-12,texnet2018lkox,final,07:48:05,1.9,28.9883,-97.9091,Near Coast of Texas
2018-06-13,texnet2018lmzh,final,15:18:28,2.6,29.0744,-97.7644,Central Texas
2018-06-13,texnet2018lnat,final,16:02:47,1.9,29.09,-97.7489,Central Texas
2018-06-14,,,,0.0,,,
2018-06-15,,,,0.0,,,
2018-06-16,,,,0.0,,,
2018-06-17,,,,0.0,,,
2018-06-18,,,,0.0,,,
2018-06-19,,,,0.0,,,
2018-06-20,,,,0.0,,,
2018-06-21,,,,0.0,,,
2018-06-22,,,,0.0,,,
2018-06-23,,,,0.0,,,
2018-06-24,,,,0.0,,,
2018-06-25,,,,0.0,,,
2018-06-26,texnet2018mkyd,final,17:57:17,2.3,29.0121,-97.8802,Central Texas
2018-06-27,,,,0.0,,,
2018-06-28,,,,0.0,,,
2018-06-29,,,,0.0,,,
2018-06-30,,,,0.0,,,
2018-07-01,texnet2018mstf,final,00:35:59,2.7,29.0131,-97.8853,Central Texas
2018-07-01,texnet2018msxn,final,02:45:18,2.5,29.0167,-97.8771,Central Texas
2018-07-01,texnet2018msxq,final,02:46:53,1.9,29.014,-97.876,Central Texas
2018-07-01,texnet2018mtax,final,04:28:10,1.1,28.9948,-97.8853,Near Coast of Texas
2018-07-01,texnet2018mtfm,final,06:47:24,1.6,28.9993,-97.8595,Near Coast of Texas
2018-07-01,texnet2018muej,final,19:21:01,1.4,28.9883,-97.905,Near Coast of Texas
2018-07-02,texnet2018muoe,final,00:17:25,3.0,29.0176,-97.8802,Central Texas
2018-07-02,texnet2018mvlr,final,12:12:01,1.4,29.0158,-97.8905,Central Texas
2018-07-03,,,,0.0,,,
2018-07-04,,,,0.0,,,
2018-07-05,,,,0.0,,,
2018-07-06,,,,0.0,,,
2018-07-07,,,,0.0,,,
2018-07-08,,,,0.0,,,
2018-07-09,,,,0.0,,,
2018-07-10,,,,0.0,,,
2018-07-11,,,,0.0,,,
2018-07-12,,,,0.0,,,
2018-07-13,,,,0.0,,,
2018-07-14,,,,0.0,,,
2018-07-15,,,,0.0,,,
2018-07-16,,,,0.0,,,
2018-07-17,,,,0.0,,,
2018-07-18,,,,0.0,,,
2018-07-19,,,,0.0,,,
2018-07-20,texnet2018obwg,final,05:53:08,2.0,28.9966,-97.9164,Near Coast of Texas
2018-07-20,texnet2018ocae,final,07:53:09,1.5,29.0048,-97.9174,Central Texas
2018-07-20,texnet2018ocfu,final,10:42:16,2.4,28.9957,-97.9174,Near Coast of Texas
2018-07-21,,,,0.0,,,
2018-07-22,,,,0.0,,,
2018-07-23,,,,0.0,,,
2018-07-24,,,,0.0,,,
2018-07-25,texnet2018okzz,final,05:59:01,1.7,28.9938,-97.8884,Near Coast of Texas
2018-07-26,texnet2018onbd,final,08:51:31,0.9,29.0067,-97.8905,Central Texas
2018-07-27,,,,0.0,,,
2018-07-28,,,,0.0,,,
2018-07-29,,,,0.0,,,
2018-07-30,,,,0.0,,,
2018-07-31,,,,0.0,,,
2018-08-01,,,,0.0,,,
2018-08-02,texnet2018pask,final,20:20:16,2.7,29.1568,-97.6692,Central Texas
2018-08-03,,,,0.0,,,
2018-08-04,,,,0.0,,,
2018-08-05,,,,0.0,,,
2018-08-06,,,,0.0,,,
2018-08-07,,,,0.0,,,
2018-08-08,texnet2018pkrq,final,07:17:55,1.4,28.9078,-98.089,Southern Texas
2018-08-09,,,,0.0,,,
2018-08-10,,,,0.0,,,
2018-08-11,,,,0.0,,,
2018-08-12,,,,0.0,,,
2018-08-13,,,,0.0,,,
2018-08-14,,,,0.0,,,
2018-08-15,,,,0.0,,,
2018-08-16,texnet2018pzzl,final,16:18:22,1.3,29.0277,-97.8109,Central Texas
2018-08-16,texnet2018qaga,final,19:38:17,1.7,29.0598,-97.9029,Central Texas
2018-08-17,,,,0.0,,,
2018-08-18,,,,0.0,,,
2018-08-19,,,,0.0,,,
2018-08-20,,,,0.0,,,
2018-08-21,,,,0.0,,,
2018-08-22,,,,0.0,,,
2018-08-23,,,,0.0,,,
2018-08-24,texnet2018qnsb,final,04:27:29,2.4,29.1385,-97.7127,Central Texas
2018-08-25,,,,0.0,,,
2018-08-26,,,,0.0,,,
2018-08-27,,,,0.0,,,
2018-08-28,,,,0.0,,,
2018-08-29,,,,0.0,,,
2018-08-30,,,,0.0,,,
2018-08-31,,,,0.0,,,
2018-09-01,texnet2018rcbp,final,01:12:59,1.4,29.0286,-97.8429,Central Texas
2018-09-02,,,,0.0,,,
2018-09-03,texnet2018rggh,final,08:06:30,1.5,28.9957,-97.9526,Near Coast of Texas
2018-09-04,,,,0.0,,,
2018-09-05,texnet2018rkiw,final,13:53:47,2.1,29.1312,-97.6568,Central Texas
2018-09-06,,,,0.0,,,
2018-09-07,,,,0.0,,,
2018-09-08,,,,0.0,,,
2018-09-09,,,,0.0,,,
2018-09-10,,,,0.0,,,
2018-09-11,,,,0.0,,,
2018-09-12,,,,0.0,,,
2018-09-13,,,,0.0,,,
2018-09-14,,,,0.0,,,
2018-09-15,,,,0.0,,,
2018-09-16,,,,0.0,,,
2018-09-17,,,,0.0,,,
2018-09-18,,,,0.0,,,
2018-09-19,,,,0.0,,,
2018-09-20,,,,0.0,,,
2018-09-21,,,,0.0,,,
2018-09-22,texnet2018somq,final,01:56:19,1.7,29.0488,-97.8554,Central Texas
2018-09-23,,,,0.0,,,
2018-09-24,,,,0.0,,,
