EventID,Evaluation Status,Origin Date,Origin Time,Magnitude,Moment Magnitude,Latitude (WGS84),Latitude Error (km),Longitude (WGS84),Longitude Error (km),Depth of Hypocenter (Km.  Rel to MSL),Depth of Hypocenter (Km. Rel to Ground Surface),Depth Uncertainty (Km. Corresponds to 1st dev),RMS,UsedPhaseCount,UsedStationCount,Author,EventType,LocationName,Nodal Plane 1 - Strike,Nodal Plane 1 - Dip,Nodal Plane 1 - Rake,Nodal Plane 2 - Strike,Nodal Plane 2 - Dip,Nodal Plane 2 - Rake,Focal Mechanism Method ID,Focal Mechanism - Azimuthal Gap,Focal Mechanism - Misfit,Maximum Station Distance (km),Last Updated
texnet2019mvdc,final,2019-07-02,07:51:27,2.5,,29.0103,0.8,-97.9277,0.8,5.4,5.5,1.7,0.3,24,21,TXNet,earthquake,Central Texas,,,,,,,,,,45.926588915077495,2019-07-02 14:27:59
texnet2019muir,final,2019-07-01,21:31:50,1.8,,29.0076,1.1,-97.9370,1.1,6.0,6.1,2.4,0.3,15,13,TXNet,earthquake,Central Texas,,,,,,,,,,45.150368633118,2019-07-09 16:08:46
texnet2019mtol,final,2019-07-01,11:18:26,1.8,,29.0140,1.1,-97.9195,1.4,4.7,4.8,1.9,0.3,14,12,TXNet,earthquake,Central Texas,,,,,,,,,,36.1920766141305,2019-07-02 17:57:27
texnet2019lxyh,final,2019-06-19,15:17:24,1.6,,28.9957,1.0,-97.9257,1.4,6.4,6.5,2.8,0.2,12,8,TXNet,earthquake,Near Coast of Texas,,,,,,,,,,27.2566839044115,2019-06-19 17:54:37
texnet2019lrjt,final,2019-06-16,01:07:17,3.7,,28.9627,0.8,-97.9898,0.9,2.5,2.6,1.7,0.3,38,31,TXNet,earthquake,Near Coast of Texas,,,,,,,,,,85.1850514039455,2019-06-17 14:11:30
texnet2019lrjs,final,2019-06-16,01:05:28,2.8,,28.9590,0.8,-97.9877,0.9,2.4,2.5,1.6,0.3,35,30,TXNet,earthquake,Near Coast of Texas,,,,,,,,,,56.74572409961699,2019-06-17 18:38:46
texnet2019jfsy,final,2019-05-12,05:04:21,1.7,,29.1165,1.0,-97.6589,0.9,5.1,5.2,3.0,0.2,14,12,TXNet,earthquake,Central Texas,,,,,,,,,,32.4923397979635,2019-05-14 15:47:03
texnet2019jdke,final,2019-05-10,22:21:47,1.8,,29.0305,0.9,-97.8905,1.0,6.3,6.4,2.7,0.3,22,16,TXNet,earthquake,Central Texas,,,,,,,,,,47.195653814001,2019-05-14 16:16:40
texnet2019jdec,final,2019-05-10,19:17:58,2.1,,28.9957,1.2,-97.8946,1.1,6.9,7.0,2.4,0.3,19,14,TXNet,earthquake,Near Coast of Texas,,,,,,,,,,49.4828156184075,2019-05-16 14:42:54
texnet2019jddo,final,2019-05-10,19:01:21,2.7,,29.0167,0.9,-97.8895,1.1,2.5,2.6,1.7,0.3,19,17,TXNet,earthquake,Central Texas,,,,,,,,,,52.074961689996,2019-05-10 19:20:11
texnet2019jczf,final,2019-05-10,16:49:30,3.2,,29.0195,0.7,-97.8926,0.7,3.5,3.6,1.5,0.3,38,30,TXNet,earthquake,Central Texas,,,,,,,,,,92.6421722826705,2019-05-10 19:56:30
texnet2019jcrn,final,2019-05-10,12:56:34,2.7,,29.0268,0.6,-97.8988,0.7,3.1,3.2,1.6,0.2,27,25,TXNet,earthquake,Central Texas,,,,,,,,,,52.848062262796496,2019-05-10 14:25:31
texnet2019itub,final,2019-05-05,16:00:10,2.1,,29.0067,1.3,-97.9050,1.3,2.1,2.2,2.0,0.2,13,10,TXNet,earthquake,Central Texas,,,,,,,,,,37.713181926672,2019-05-06 20:05:16
texnet2019irua,final,2019-05-04,13:42:42,2.3,,29.0067,1.2,-97.9071,1.3,2.2,2.3,2.0,0.2,14,12,TXNet,earthquake,Central Texas,,,,,,,,,,31.741850061243,2019-05-06 19:30:06
texnet2019irre,final,2019-05-04,12:16:05,1.9,,28.9993,1.7,-97.9133,1.4,3.0,3.1,2.1,0.3,13,10,TXNet,earthquake,Near Coast of Texas,,,,,,,,,,38.487704172025495,2019-05-06 21:54:32
texnet2019ifft,final,2019-04-27,16:52:02,1.7,,29.1238,1.1,-97.6382,1.2,6.4,6.6,1.3,0.2,15,10,TXNet,earthquake,Central Texas,,,,,,,,,,33.549254310852,2019-11-22 20:43:39
texnet2019hueh,final,2019-04-21,15:38:24,1.4,,29.1193,1.0,-97.8150,1.5,5.9,6.0,3.3,0.2,10,8,TXNet,earthquake,Central Texas,,,,,,,,,,32.2832957554485,2019-04-22 19:32:09
texnet2019glqq,final,2019-04-02,18:07:09,1.9,,29.0195,1.2,-97.8946,1.1,9.6,9.7,3.3,0.3,15,10,TXNet,earthquake,Central Texas,,,,,,,,,,45.90877381927199,2019-04-02 18:27:45
texnet2019gigs,final,2019-03-31,21:41:07,1.4,,29.0359,1.7,-97.9153,1.9,5.4,5.5,2.7,0.3,11,8,TXNet,earthquake,Central Texas,,,,,,,,,,38.977140806792995,2019-04-02 16:44:50
texnet2019ggjo,final,2019-03-30,20:51:53,1.7,,28.8785,1.6,-97.8285,1.0,5.2,5.3,3.3,0.2,13,9,TXNet,earthquake,Near Coast of Texas,,,,,,,,,,37.0747340510715,2019-04-01 21:40:15
texnet2019fumt,final,2019-03-24,08:51:01,1.5,,29.0140,1.0,-97.8926,1.1,7.1,7.2,3.3,0.3,17,12,TXNet,earthquake,Central Texas,,,,,,,,,,43.960908067902,2019-03-26 16:10:45
texnet2019fueq,final,2019-03-24,04:44:27,1.8,,29.0250,1.1,-97.9236,1.4,7.9,8.0,2.6,0.3,19,14,TXNet,earthquake,Central Texas,,,,,,,,,,44.374199011600496,2019-03-26 17:04:24
texnet2019ftgu,final,2019-03-23,16:41:58,1.8,,29.0048,1.0,-97.8884,1.0,6.6,6.7,2.6,0.4,19,13,TXNet,earthquake,Central Texas,,,,,,,,,,49.76671457819249,2019-03-25 16:59:18
texnet2019fsyl,final,2019-03-23,12:28:58,1.3,,28.9993,1.0,-97.8884,1.1,7.3,7.4,2.4,0.3,14,9,TXNet,earthquake,Near Coast of Texas,,,,,,,,,,32.761855117404,2019-03-26 16:03:30
texnet2019fsvb,final,2019-03-23,10:45:39,2.0,,29.0103,1.3,-97.8926,1.2,9.0,9.1,2.1,0.3,17,12,TXNet,earthquake,Central Texas,,,,,,,,,,51.6804009880725,2019-03-25 19:01:59
texnet2019fsum,final,2019-03-23,10:28:50,2.7,,29.0250,0.8,-97.8926,0.9,6.2,6.3,2.6,0.3,26,19,TXNet,earthquake,Central Texas,,,,,,,,,,51.913236813165,2019-03-25 14:41:12
texnet2019fqtg,final,2019-03-22,07:34:55,1.5,,29.0012,1.0,-97.9050,1.1,6.2,6.3,2.2,0.3,12,10,TXNet,earthquake,Central Texas,,,,,,,,,,37.6888692622365,2019-03-29 16:52:23
texnet2019fptd,final,2019-03-21,18:23:35,2.5,,29.0067,1.0,-97.9009,1.4,6.3,6.4,2.4,0.3,21,14,TXNet,earthquake,Central Texas,,,,,,,,,,50.831061342641995,2019-03-21 18:42:47
texnet2019fpky,preliminary,2019-03-21,14:14:39,1.4,,28.9215,2.6,-97.8357,2.2,6.9,7.0,3.6,0.2,8,5,TXNet,earthquake,Near Coast of Texas,,,,,,,,,,15.1720614088785,2021-01-20 22:04:36
texnet2019fnwf,final,2019-03-20,17:40:04,1.8,,28.9929,1.2,-97.9122,1.5,6.0,6.1,2.2,0.3,12,9,TXNet,earthquake,Near Coast of Texas,,,,,,,,,,46.92307227019649,2019-03-21 14:45:47
texnet2019fmun,final,2019-03-20,03:40:27,1.6,,29.0067,0.9,-97.9091,1.2,5.6,5.7,2.2,0.3,14,11,TXNet,earthquake,Central Texas,,,,,,,,,,44.1182486481975,2019-03-20 18:43:11
texnet2019fmjf,final,2019-03-19,21:58:01,1.9,,29.0048,0.8,-97.8967,0.9,7.7,7.7,2.8,0.3,18,13,TXNet,earthquake,Central Texas,,,,,,,,,,45.050849508419994,2019-03-20 18:33:27
texnet2019fltx,final,2019-03-19,14:13:46,1.7,,29.0286,1.2,-97.8616,0.9,4.5,4.6,2.1,0.3,13,10,TXNet,earthquake,Central Texas,,,,,,,,,,37.418326167410996,2019-03-19 18:07:48
texnet2019flaa,final,2019-03-19,04:11:28,1.5,,29.0268,1.3,-97.8905,1.3,2.5,2.6,1.8,0.3,14,12,TXNet,earthquake,Central Texas,,,,,,,,,,34.478809262037,2019-03-19 16:46:08
texnet2019fkag,final,2019-03-18,15:10:29,1.7,,28.9572,1.4,-97.8491,1.4,4.3,4.4,3.1,0.2,10,7,TXNet,earthquake,Near Coast of Texas,,,,,,,,,,48.1009007709405,2019-03-18 19:36:10
texnet2019fjvp,final,2019-03-18,12:49:22,2.0,,29.0048,1.0,-97.9029,1.0,7.2,7.3,2.3,0.3,17,13,TXNet,earthquake,Central Texas,,,,,,,,,,45.329096292921,2019-03-20 18:44:42
texnet2019fjis,final,2019-03-18,06:18:30,1.7,,28.9993,1.9,-97.8678,1.5,2.5,2.6,1.9,0.3,14,11,TXNet,earthquake,Near Coast of Texas,,,,,,,,,,51.869586359713495,2019-03-18 19:19:41
texnet2019fjbg,final,2019-03-18,02:32:05,2.2,,29.1229,0.6,-97.6951,0.4,6.4,6.5,1.3,0.3,36,22,TXNet,earthquake,Central Texas,,,,,,,,,,90.10262041196849,2019-03-18 16:09:24
texnet2019fhsd,final,2019-03-17,08:47:20,2.4,,29.0176,1.1,-97.8781,1.0,4.0,4.1,1.7,0.3,23,19,TXNet,earthquake,Central Texas,,,,,,,,,,65.477478000249,2019-03-18 17:18:56
texnet2019fhqk,final,2019-03-17,07:54:44,1.7,,29.0341,0.7,-97.8967,0.7,3.1,3.1,1.6,0.3,29,18,TXNet,earthquake,Central Texas,,,,,,,,,,73.44497709048149,2019-03-18 16:59:33
texnet2019fhpi,final,2019-03-17,07:22:58,1.7,,28.9810,1.9,-97.8698,1.4,3.4,3.5,1.7,0.2,16,12,TXNet,earthquake,Near Coast of Texas,,,,,,,,,,46.3507732882215,2019-03-18 18:26:54
texnet2019fhlz,final,2019-03-17,05:42:20,1.5,,28.9371,2.0,-97.8037,1.8,5.6,5.6,3.0,0.1,10,7,TXNet,earthquake,Near Coast of Texas,,,,,,,,,,48.99673551591,2019-03-18 20:35:46
texnet2019fgva,final,2019-03-16,21:07:24,2.0,,29.0067,0.6,-97.8884,0.7,5.0,5.1,2.3,0.3,28,17,TXNet,earthquake,Central Texas,,,,,,,,,,75.53377629967049,2019-03-18 16:35:23
texnet2019fgur,final,2019-03-16,20:55:49,2.6,,29.0268,0.7,-97.8905,0.7,4.5,4.6,2.0,0.3,30,23,TXNet,earthquake,Central Texas,,,,,,,,,,68.3712563879835,2019-03-18 14:59:23
texnet2019fbom,final,2019-03-14,00:07:39,1.7,,29.0213,1.1,-97.8781,1.1,8.2,8.3,2.8,0.2,11,9,TXNet,earthquake,Central Texas,,,,,,,,,,33.132559588128,2019-03-14 15:22:56
texnet2019fafc,preliminary,2019-03-13,06:15:04,1.2,,29.0607,0.6,-97.6909,0.6,8.5,8.6,1.8,0.2,15,10,TXNet,earthquake,Central Texas,,,,,,,,,,67.445170109226,2019-03-14 14:02:27
texnet2019ezxw,final,2019-03-13,02:36:51,2.1,,29.0369,0.7,-97.8791,0.7,5.8,5.9,2.4,0.3,26,17,TXNet,earthquake,Central Texas,,,,,,,,,,53.425203130971,2019-03-13 14:39:25
texnet2019eylz,final,2019-03-12,07:27:43,1.5,,29.1238,1.2,-97.7023,0.9,2.7,2.8,2.3,0.3,14,10,TXNet,earthquake,Central Texas,,,,,,,,,,55.33259291270549,2019-03-12 16:35:27
texnet2019eyky,final,2019-03-12,06:56:10,1.6,,29.1220,0.9,-97.7065,0.7,3.4,3.5,2.8,0.1,10,8,TXNet,earthquake,Central Texas,,,,,,,,,,27.125649236763,2019-03-12 19:42:21
texnet2019eycc,final,2019-03-12,02:27:54,1.6,,29.1257,1.4,-97.7044,1.1,6.1,6.3,3.5,0.2,12,8,TXNet,earthquake,Central Texas,,,,,,,,,,31.506967302992994,2019-03-12 19:51:50
texnet2019exxq,final,2019-03-12,00:13:13,1.4,,29.1275,1.0,-97.6982,0.9,4.9,5.0,2.8,0.2,10,7,TXNet,earthquake,Central Texas,,,,,,,,,,26.4653697796425,2019-03-13 15:39:51
texnet2019exey,final,2019-03-11,14:46:09,1.7,,29.1266,1.5,-97.6951,0.9,5.3,5.5,2.9,0.2,11,9,TXNet,earthquake,Central Texas,,,,,,,,,,31.3005290374665,2019-03-12 16:13:42
texnet2019excu,final,2019-03-11,13:40:53,1.4,,29.1238,1.0,-97.7003,0.9,8.2,8.4,2.3,0.2,12,8,TXNet,earthquake,Central Texas,,,,,,,,,,31.177709578732497,2019-03-13 15:12:45
texnet2019ewxq,final,2019-03-11,11:04:39,1.9,,29.1183,1.0,-97.7023,0.9,5.0,5.1,2.7,0.2,13,10,TXNet,earthquake,Central Texas,,,,,,,,,,55.888576396884,2019-03-11 19:45:48
texnet2019ewuj,final,2019-03-11,09:25:36,1.7,,29.1229,0.9,-97.7034,0.9,4.4,4.5,2.8,0.3,19,15,TXNet,earthquake,Central Texas,,,,,,,,,,55.46711662370549,2019-03-12 16:04:11
texnet2019ewsb,final,2019-03-11,08:16:04,2.0,,29.1193,0.8,-97.7034,0.7,4.3,4.4,2.6,0.2,18,15,TXNet,earthquake,Central Texas,,,,,,,,,,55.837495893532505,2019-03-11 19:31:10
texnet2019ewjr,final,2019-03-11,04:01:19,1.4,,29.1220,1.0,-97.7003,0.7,3.5,3.6,2.8,0.2,11,9,TXNet,earthquake,Central Texas,,,,,,,,,,27.0860582458935,2019-03-13 15:51:38
texnet2019ewip,final,2019-03-11,03:28:44,1.1,,29.1183,0.8,-97.7044,0.9,6.7,6.9,2.4,0.3,16,12,TXNet,earthquake,Central Texas,,,,,,,,,,30.744235686181497,2019-03-13 16:27:34
texnet2019evws,final,2019-03-10,21:28:26,1.1,,29.1220,1.0,-97.7065,0.8,7.7,7.8,2.9,0.2,11,9,TXNet,earthquake,Central Texas,,,,,,,,,,32.886200560720496,2019-03-13 16:59:15
texnet2019evuy,final,2019-03-10,20:35:09,1.9,,29.1055,0.9,-97.7044,0.8,4.5,4.7,2.7,0.2,14,11,TXNet,earthquake,Central Texas,,,,,,,,,,57.271704259486505,2019-03-11 19:59:34
texnet2019dtch,final,2019-02-23,03:21:20,1.4,,28.9517,1.2,-97.9463,1.3,3.4,3.5,1.6,0.3,14,12,TXNet,earthquake,Near Coast of Texas,,,,,,,,,,37.240384611779994,2019-02-25 22:06:14
texnet2019dsgo,final,2019-02-22,16:22:23,2.6,,29.0414,0.8,-97.8636,0.9,4.0,4.1,2.0,0.3,20,18,TXNet,earthquake,Central Texas,,,,,,,,,,39.9698323568145,2019-02-22 17:02:44
texnet2019drdu,final,2019-02-22,01:50:09,1.9,,28.9792,0.8,-98.0084,1.0,5.9,6.0,2.2,0.3,25,17,TXNet,earthquake,Southern Texas,,,,,,,,,,42.6615141767535,2019-02-25 15:30:37
texnet2019dmcr,final,2019-02-19,07:35:43,1.6,,28.9426,2.2,-97.9918,1.2,2.4,2.5,1.6,0.3,13,10,TXNet,earthquake,Near Coast of Texas,,,,,,,,,,41.6053617832755,2019-02-19 16:55:38
texnet2019dmcb,final,2019-02-19,07:16:41,1.8,,28.9316,1.4,-97.9732,1.2,4.4,4.5,1.6,0.3,16,11,TXNet,earthquake,Near Coast of Texas,,,,,,,,,,45.242192663514,2019-02-19 16:28:51
texnet2019dlaq,final,2019-02-18,17:25:15,1.6,,28.9426,1.3,-98.0291,1.4,6.8,6.9,2.4,0.3,15,9,TXNet,earthquake,Southern Texas,,,,,,,,,,37.982089821186,2019-03-01 18:11:00
texnet2019dlah,final,2019-02-18,17:24:56,1.6,,28.9334,2.4,-98.0105,1.4,7.2,7.3,2.8,0.3,12,7,TXNet,earthquake,Southern Texas,,,,,,,,,,37.511019920619,2019-03-01 18:42:29
texnet2019djyu,final,2019-02-18,03:21:29,2.0,,28.9645,1.0,-97.9608,0.9,4.2,4.3,1.5,0.3,18,13,TXNet,earthquake,Near Coast of Texas,,,,,,,,,,52.00118282898,2019-02-18 20:42:23
texnet2019djyg,final,2019-02-18,03:05:24,1.9,,28.9297,1.0,-97.9856,1.2,5.3,5.3,2.1,0.3,17,13,TXNet,earthquake,Near Coast of Texas,,,,,,,,,,44.29075213451699,2019-02-18 22:50:53
texnet2019ditw,final,2019-02-17,11:44:15,2.1,,28.9755,0.8,-97.9381,0.8,3.0,3.1,1.4,0.3,20,16,TXNet,earthquake,Near Coast of Texas,,,,,,,,,,46.247043331187996,2019-02-18 17:57:18
texnet2019diqy,final,2019-02-17,10:15:04,1.9,,28.9774,1.1,-97.9588,1.0,3.9,4.0,1.6,0.3,17,14,TXNet,earthquake,Near Coast of Texas,,,,,,,,,,44.913277164105,2019-02-18 21:08:46
texnet2019dine,final,2019-02-17,08:20:54,2.0,,28.9719,0.9,-97.9401,0.9,3.1,3.2,1.4,0.3,24,18,TXNet,earthquake,Near Coast of Texas,,,,,,,,,,61.58022831881549,2019-02-18 18:32:13
texnet2019dici,final,2019-02-17,02:52:41,2.4,,28.9719,0.6,-97.9484,0.8,3.3,3.4,1.5,0.3,32,21,TXNet,earthquake,Near Coast of Texas,,,,,,,,,,60.827408880052495,2019-02-18 17:02:20
texnet2019dhzt,final,2019-02-17,01:33:34,2.2,,28.9755,0.7,-97.9588,0.6,4.2,4.3,1.7,0.3,27,19,TXNet,earthquake,Near Coast of Texas,,,,,,,,,,60.03724073095349,2019-02-18 15:30:12
texnet2019bjqv,preliminary,2019-01-20,12:16:07,1.5,,29.0424,2.3,-97.8357,7.7,13.4,13.4,4.1,0.1,6,3,TXNet,earthquake,Central Texas,,,,,,,,,,38.775615736819496,2021-01-15 21:12:26
texnet2019afou,final,2019-01-04,01:08:50,1.6,,28.9865,0.8,-97.9174,0.8,7.2,7.3,2.6,0.3,14,11,TXNet,earthquake,Near Coast of Texas,,,,,,,,,,34.6704589706265,2019-04-04 16:32:21
texnet2019aaqw,preliminary,2019-01-01,08:31:35,1.2,,29.0121,0.8,-97.9071,1.0,3.2,3.2,2.0,0.2,11,6,TXNet,earthquake,Central Texas,,,,,,,,,,24.785589758075997,2019-01-17 20:19:05
texnet2018zqdr,final,2018-12-31,14:25:52,1.8,,28.9938,0.8,-97.9277,1.0,6.5,6.6,2.3,0.4,25,14,TXNet,earthquake,Near Coast of Texas,,,,,,,,,,118.85634028138499,2019-01-11 15:17:35
texnet2018zqby,final,2018-12-31,13:32:46,1.9,,29.0121,0.9,-97.9236,0.9,5.1,5.2,2.2,0.3,12,9,TXNet,earthquake,Central Texas,,,,,,,,,,44.307770796134996,2019-01-04 17:18:27
texnet2018zley,final,2018-12-28,21:23:55,1.4,,29.0067,1.1,-97.9381,1.3,7.1,7.2,2.8,0.3,15,12,TXNet,earthquake,Central Texas,,,,,,,,,,43.36159945348349,2019-03-29 19:46:36
texnet2018zkpr,final,2018-12-28,13:40:48,2.2,,28.7778,0.6,-98.0580,1.2,5.2,5.3,2.0,0.2,18,13,TXNet,earthquake,Southern Texas,,,,,,,,,,54.712646728677,2019-01-04 22:18:36
texnet2018zjtr,final,2018-12-28,02:34:34,1.7,,28.7704,0.6,-98.0497,0.9,6.1,6.2,2.5,0.2,14,8,TXNet,earthquake,Southern Texas,,,,,,,,,,41.167158934167,2019-01-04 17:47:53
texnet2018zfsd,final,2018-12-25,21:14:42,1.3,,28.9865,1.6,-97.9298,1.3,7.6,7.7,2.2,0.4,12,9,TXNet,earthquake,Near Coast of Texas,,,,,,,,,,46.5666047180145,2019-03-15 16:29:10
texnet2018zcpj,final,2018-12-24,04:26:07,1.2,,28.9957,0.8,-97.9112,0.8,5.4,5.5,2.0,0.3,14,7,TXNet,earthquake,Near Coast of Texas,,,,,,,,,,47.949221328246,2019-01-13 18:28:19
texnet2018zckt,final,2018-12-24,02:06:09,1.1,,29.0167,1.4,-97.9267,1.7,7.6,7.7,2.6,0.3,12,9,TXNet,earthquake,Central Texas,,,,,,,,,,37.1476287339255,2019-04-10 16:36:39
texnet2018yzxn,final,2018-12-22,17:08:23,1.8,,29.0140,0.7,-97.8698,0.7,5.4,5.5,1.8,0.3,13,11,TXNet,earthquake,Central Texas,,,,,,,,,,23.152845065836498,2019-11-06 19:31:38
texnet2018yzxo,preliminary,2018-12-22,17:08:11,2.0,,28.9389,1.6,-97.9546,1.0,12.7,12.8,1.2,0.1,9,6,TXNet,earthquake,Near Coast of Texas,,,,,,,,,,20.926061323587,2021-02-05 05:29:48
texnet2018yzxd,final,2018-12-22,16:57:31,1.5,,29.0121,0.8,-97.9091,0.8,3.9,4.0,1.9,0.3,14,7,TXNet,earthquake,Central Texas,,,,,,,,,,24.8786187753285,2019-01-13 17:05:17
texnet2018yzwy,final,2018-12-22,16:50:31,1.8,,29.0323,0.9,-97.7209,0.6,3.7,3.9,2.8,0.1,12,8,TXNet,earthquake,Central Texas,,,,,,,,,,67.96986189710849,2019-01-15 21:35:54
texnet2018yztf,final,2018-12-22,14:57:28,1.5,,29.0094,0.7,-97.9143,0.9,5.7,5.8,2.1,0.2,13,7,TXNet,earthquake,Central Texas,,,,,,,,,,25.3850378999805,2019-01-14 19:01:14
texnet2018yznd,final,2018-12-22,11:53:58,1.7,,29.0167,0.5,-97.9184,0.6,4.0,4.0,1.5,0.2,15,9,TXNet,earthquake,Central Texas,,,,,,,,,,46.59856941092849,2019-01-04 16:29:18
texnet2018yzmh,final,2018-12-22,11:27:52,1.4,,29.0195,0.6,-97.9091,0.6,4.6,4.7,1.9,0.2,13,8,TXNet,earthquake,Central Texas,,,,,,,,,,24.160405589019,2019-01-15 17:25:26
texnet2018yzlo,final,2018-12-22,11:06:29,1.1,,28.9774,1.1,-97.8429,1.0,12.1,12.2,0.9,0.1,11,7,TXNet,earthquake,Near Coast of Texas,,,,,,,,,,26.392803944881496,2019-01-04 17:28:35
texnet2018yzke,final,2018-12-22,10:24:14,1.2,,28.9975,0.8,-97.8946,0.6,2.1,2.2,1.3,0.2,21,14,TXNet,earthquake,Near Coast of Texas,,,,,,,,,,146.950785362745,2019-01-15 18:02:59
texnet2018yzjx,final,2018-12-22,10:16:58,1.1,,28.9902,1.0,-97.9153,1.2,6.6,6.7,2.6,0.2,11,6,TXNet,earthquake,Near Coast of Texas,,,,,,,,,,47.7606022393815,2019-01-10 19:24:08
texnet2018yzih,final,2018-12-22,09:26:47,2.2,,29.0131,0.6,-97.9184,0.7,4.2,4.2,1.5,0.2,16,9,TXNet,earthquake,Central Texas,,,,,,,,,,49.22872565854949,2019-01-02 15:51:50
texnet2018yzie,final,2018-12-22,09:23:12,1.9,,29.0103,0.6,-97.9277,0.6,8.1,8.2,1.1,0.2,16,10,TXNet,earthquake,Central Texas,,,,,,,,,,27.454332271905,2019-07-30 19:22:37
texnet2018yzev,final,2018-12-22,07:41:52,3.1,,29.0067,0.5,-97.9277,0.6,6.4,6.5,1.3,0.3,37,22,TXNet,earthquake,Central Texas,,,,,,,,,,117.95230969766999,2018-12-22 19:43:55
texnet2018yzdg,final,2018-12-22,06:53:42,1.4,,28.9664,1.6,-97.8884,1.5,5.3,5.4,2.4,0.2,12,8,TXNet,earthquake,Near Coast of Texas,,,,,,,,,,28.7502598813185,2019-02-20 19:44:50
texnet2018yzcj,final,2018-12-22,06:27:32,1.5,,28.9902,1.8,-97.9215,1.3,7.0,7.1,2.5,0.3,15,8,TXNet,earthquake,Near Coast of Texas,,,,,,,,,,47.1896375084505,2019-01-09 20:47:27
texnet2018yzch,final,2018-12-22,06:24:39,0.9,,29.0030,1.3,-97.8843,1.0,6.8,6.9,2.6,0.3,11,8,TXNet,earthquake,Central Texas,,,,,,,,,,24.793694995135496,2019-04-10 14:32:39
texnet2018yzbd,final,2018-12-22,05:49:49,1.8,,29.0140,0.6,-97.9298,0.6,8.3,8.4,1.0,0.2,17,10,TXNet,earthquake,Central Texas,,,,,,,,,,45.618001607429996,2019-01-08 17:14:26
texnet2018yzba,final,2018-12-22,05:46:10,1.9,,29.0213,0.4,-97.9112,0.6,4.2,4.3,1.7,0.2,18,11,TXNet,earthquake,Central Texas,,,,,,,,,,47.14551746739449,2019-01-02 18:05:55
